SL,S1,S2,S3,S4,S5
1,3093,2454,2398,2308,3490
2,1152,2529,1122,1792,3692
3,301,3508,949,3113,3692
4,3140,1471,2103,1817,2800
5,1718,77,2681,3291,1776
6,3255,2154,3756,1077,1192
7,750,2252,672,431,651
8,2405,10000,2039,3941,2572
9,2709,2743,2785,12000,1967
10,218,3427,2391,1159,34444
11,3498,2207,2537,3566,2595
12,2083,884,378,372,3797
13,3466,2865,359,1966,1516
14,641,427,2788,3629,3286
15,1344,3700,660,8,1441
16,3580,1030,2784,45,948
17,3241,4,736,502,1574
18,3390,0,1593,1641,663
19,1720,1769,3031,2687,593
20,478,170,2433,511,501
21,2345,3031,6000,2309,1054
22,2002,3954,1208,1221,173
23,3481,3273,2226,28,3430
24,713,2545,2267,2737,3046
25,1886,2229,1279,2125,2882
26,3621,1447,2664,763,3059
27,2086,2059,296,741,921
28,1249,1141,763,3380,3042
29,3246,242,2391,945,1592
30,1561,2022,3702,2536,522
31,3962,1680,2446,2850,3654
32,3743,2557,2553,3308,364
33,2540,1502,3600,-6777,2526
34,1819,1659,828,961,3753
